dataset,train_acc_mean,train_acc_std,train_f1_mean,train_f1_std,train_auc_mean,train_auc_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std
ph2,0.9633333333333333,0.037546267753562707,0.9633169761049258,0.0375678984841402,0.9931527777777778,0.008730357140602508,0.9359999999999999,0.021908902300206604,0.9353062330623306,0.02095892279667466,0.924,0.0456070170039655,0.8720000000000001,0.017888543819998333,0.8881719901719903,0.02145121365376318,0.916,0.016733200530681527
derm7pt,0.8862155388471178,0.05754459100248696,0.8851590468665643,0.05885427844724342,0.9612942129760492,0.025269900005199658,0.835483870967742,0.0044171173992352064,0.8367425138812676,0.003016331334769618,0.8709150326797385,0.016004733056190667,0.8148,0.00715541752799929,0.8069974773459793,0.006023010091789565,0.8407632677400119,0.013745720104034588
ham10000,0.8985852090032154,0.0018477480762709444,0.8984698407075464,0.0018766828804887435,0.97020027134174,0.0015440745648077567,0.8716568544995795,0.006421735632908708,0.8808317968636492,0.004702933664045017,0.9184651620132172,0.00028889767151159756,0.8703111858704794,0.005778154428029488,0.8789206158387406,0.0040753557681785174,0.9123816085456194,0.00941218559278525
imagenet,0.9859872611464968,0.0,0.9859890051848297,1.2412670766236366e-16,0.9992823201325658,1.406894222326423e-06,0.9523809523809523,0.0,0.9523875661375663,1.2412670766236366e-16,0.9887463529847637,1.2412670766236366e-16,0.9455782312925172,1.2412670766236366e-16,0.9455857898715042,1.2412670766236366e-16,0.9637262075672673,2.536574619112352e-05
